Class Suffix,Contributor,Label,Parent,Definition
PMD_0000124,,sandwich sheet,role,"a stiff, strong material that carries bending loads through tensile and compressive stresses when integrated into a panel assembly"
PMD_0020170,,ingot,object,An ingot is an object that has a thick section and may bear a semi finished product role and that is the specified output of a casting process. At the same time it is a material.
CHEBI_33285,,heteroorganic entity,organic molecular entity,A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms.
PMD_0000117,,structural composite,composite,"composite of material that is multi-layered and normally low-density, engineered for applications requiring structural integrity through high tensile, compressive, and torsional strengths and stiffnesses"
DIGITRUBBER_000019,,standard deviation [Wikipedia],measurement datum,The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia]
PMD_0000812,,joining function,function,A function performed to connect or bond materials together through various methods such as welding or soldering.
PATO_0001241,,physical object quality [pato],quality,A quality which inheres in a continuant.
PMD_0000601,,deterministic simulation,simulation method specification,A simulation method specification where outcomes are precisely determined through known relationships without random variability.
DIGITRUBBER_000108,Marvin Auf der Landwehr,cost group [hsh],information content entity,"Cumulative expression for the value of overarching entity groups (e.g., human ressource, maintenance) within the system under study"
PMD_0020198,,interstitial site,site,An interstitial site is a site that is located between regular lattice points in a crystal structure.
PMD_0020075,,portion of chlorine,portion of pure chemical element,A 'portion of chlorine' is a 'portion of pure chemical element' that 'consists of' only chebi:chlorine atom.
PMD_0020086,,portion of gallium,portion of pure chemical element,A 'portion of gallium' is a 'portion of pure chemical element' that 'consists of' only chebi:gallium atom.
PMD_0000972,,temporal property,material property,A temporal property is a material property that represents attributes related to the time-dependent behavior of a material or process.
PMD_0050063,,carbide ceramic,non-oxide ceramic,non-oxide ceramic consisting of a metal and carbon
PMD_0020210,,elemental crystal,crystal,a crystal that consists of exactly one atomic species
PMD_0000100,,function name,textual entity,A textual entity that denotes a workflow function
PMD_0020251,,biocompatible,bioactive,"bioactive without causing harmful or unacceptable biological responses (toxicity, inflammation, immune reaction) and performce of its intended function or integration with the tissue."
PMD_0000572,,coating from the liquid state,coating,A coating process that involves applying a coating from a liquid state.
PMD_0050034,,nitrile butadiene rubber,synthetic rubber,synthetic rubber that belongs to a family of synthetic acrylonitrile–butadiene copolymer elastomers
DIGITRUBBER_000161,Marvin Auf der Landwehr,banbury mixer [hsh],device,A machine that mixes polymers and additives in the manufacture of plastic and rubber products. Constitutes an entity sub-group of the machine entity.
PMD_0000961,,sublimation point,state of matter boundary,The sublimation point is a state of matter boundary realized by transition from the solid state to the gaseous state (or vice versa).
CHEBI_33337,,actinium atom,metal atom,Definition not available
PMD_0000526,,atomic structure,object aggregate,"The atomic structure is an object aggregate that describes the arrangement and composition of atoms in a material, influencing its physical and chemical properties."
PMD_0050089,,yttrium barium copper oxide ceramic,superconducting ceramic,"oxide is a superconducting oxide ceramic that is composed of yttrium, barium, copper, and oxygen, notable for its high critical temperature"
PMD_0050023,,epoxy resin,thermosetting polymer,thermosetting polymer that is a epoxide-functional oligomer curing via ring-opening into crosslinked networks used as precursors to thermosetting polymers
DIGITRUBBER_000221,Sven Schwabe (IFNANO),raw spectrum [ifnano],information content entity,Unprocessed data obtained from spectrometric devices
PMD_0050155,,shape,extensive quality,"Extemsive quality, the visible makeup characteristic (spatial form or contour) of a particular item or kind of item."
PMD_0000607,,differential thermal analysis process,thermal property analyzing process,"A thermal property analyzing process that measures the temperature difference between a sample and a reference material as they are subjected to a controlled temperature program, identifying phase transitions and reactions."
PMD_0000521,,generation of magnetic field,process,is a process that occurs as a reaction to change of elctric field or movement of charges and produces a magnetic field
PMD_0020128,,thermodynamic system,object aggregate,A thermodynamic system is an object aggregate whose objects are bearer of  thermodynamic properties. A thermodynamic system environs a thermodynamic process by which the thermodynamic properties of the objects of the thermodynamic system change over time.
PMD_0000937,,soldering device,device,A device used for joining materials together by melting and applying a filler metal.
PMD_0000585,,continuous simulation,simulation method specification,A simulation method specification where changes in a system are modeled continuously over time.
PMD_0050138,,iron-borosilicate glass,borosilicate glass,borosilicate glass that incorporates iron and borosilicate compounds to display magnetic behavior
PMD_0050026,,phenolic resin,thermosetting polymer,thermosetting polymer synthesized via condensation of phenol and formaldehyde
CHEBI_33330,,scandium atom,metal atom,Definition not available
PMD_0001013,,welding function,joining function,A welding function is a joining function that is realized in fusing materials by welding.
PMD_0050140,,nonlinear optical glass,optical glass,optical glass that is engineered to display nonlinear optical responses under intense light
PMD_0020101,,proportion,relational quality,A proportion is a relational quality between two entities (the whole and the part) which quantifies the relation between the whole and its part.
PMD_0000648,,forming machine,device,"A device used for shaping materials under various conditions, including tensile, compressive, and shearing."
PMD_0025010,,heating,change of temperature,Heating is a change of temperature which corresponds to the increase of temperature in the system or object.
PMD_0000510,,adjustment device role,device role,A device role that is used to adjust another device (SubjectOfAdjustmentRole). The role is realized in an adjustment process.
PMD_0000644,,force measuring function,measuring function,A measuring function performed to determine the force applied to or by an object.
PMD_0010019,,rhodium metal,precious metal,precious metal consisting primarily of rhodium
OBI_0000202,,investigation agent role,role,"A role borne by an entity and that is realized in a process that is part of an investigation in which an objective is achieved. These processes include, among others: planning, overseeing, funding, reviewing."
CHEBI_36358,,polyatomic ion,ion,An ion consisting of more than one atom.
PMD_0020050,,portion of silicon,portion of pure chemical element,A 'portion of silicon' is a 'portion of pure chemical element' that 'consists of' only chebi:silicon atom.
CHEBI_33304,,chalcogen molecular entity,p-block molecular entity,Any p-block molecular entity containing a chalcogen.
PMD_0020022,,corrosion,process,corrosion is a slow chemical or electrochemical degradation process of a material entity due to its interaction with the surrounding environment.
PMD_0020164,,state of matter boundary,phase boundary (realization),A state of matter boundary is a phase boundary that is realized by the transition from one aggregate state to another aggregate state.
PMD_0050052,,leucite-based glass-ceramic,glass-ceramic,glass-ceramics that are non-clay ceramics containing leucite crystals to enhance thermal and mechanical properties
PMD_0000809,,joining by soldering,joining,"A joining process that involves using a filler material (solder) to join metal parts by melting the solder between them without melting the base materials, a technique widely used in electronics and plumbing. This process creates a strong, conductive bond suitable for various applications."
PMD_0050137,,magnetic glass,glass,glass that exhibits intrinsic bulk magnetic behavior|Magnetic glass is functional glass that is modified to exhibit magnetic properties
PMD_0000015,,output specification,parameter specification,A parameter specification that prescribes a data item intended to be produced as output by the execution of a workflow function.
PMD_0050123,,chemically strengthened glass,toughened (tempered) glass,glass that is treated via chemical processes to enhance its strength
PATO_0001546,,quality of a solid [pato],quality of a substance [pato],A physical quality inhering in a bearer by virtue of the bearer's exhibiting the physical characteristics of an entity characterized by particles arranged such that their shape and volume are relatively stable.
PMD_0025005,,3D,data item,"A three-dimensional data item is a representation or analysis, commonly applied in studying material properties in its volume or describing a dependency of one variable on two other variables."
CHEBI_30217,,helium atom,molecular entity,Definition not available
PMD_0000813,,knife,,"A tool with a sharp edge, typically made of metal, used for cutting food, materials, or other substances."
PMD_0000646,,forming,manufacturing process,A manufacturing process that changes the shape of a solid body through plastic deformation while retaining both mass and structural integrity.
PMD_0020062,,portion of bismuth,portion of pure chemical element,A 'portion of bismuth' is a 'portion of pure chemical element' that 'consists of' only chebi:bismuth atom.
BFO_0000024,,fiat object part,material entity,(Elucidation) A fiat object part b is a material entity & such that if b exists then it is continuant part of some object c & demarcated from the remainder of c by one or more fiat surfaces
PMD_0010003,,stainless steel,steel,"steel that contains chromium, making it resistant to corrosion (rust)."
PMD_0020024,,hydrogen bond,bond,A hydrogen bond is a bond that binds one molecule’s hydrogen atom with the electronegative atoms of another molecule.
PMD_0000606,,differential scanning calorimetry process,thermal property analyzing process,"A thermal property analyzing process that measures the heat flow into or out of a material as it is heated, cooled, or held at a constant temperature, determining its thermal transitions such as melting, crystallization, and glass transitions."
PMD_0050047,,mullite ceramic,aluminosilicate ceramic,aluminosilicate ceramic known for its excellent high-temperature stability
PMD_0020216,,order scale value,categorical value specification,possible values of characteristic length over which structural correlations persist in a material
PMD_0000979,,thermal conductivity measurement process,thermal property analyzing process,"A thermal property analyzing process that measures the thermal conductivity of a material, determining its ability to conduct heat."
PMD_0000916,,rheological property analyzing process,mechanical property analyzing process,"A mechanical property analyzing process that determines the flow and deformation behavior of materials under applied forces, including viscosity, elasticity, and plasticity, often through rheometry and viscometry techniques."
PMD_0001015,,x-ray computed tomography,x-ray analyzing process,"A X-ray analyzing process, that uses X-rays to create detailed cross-sectional images of an object."
CHEBI_133602,,carbon black nanoparticle,nanoparticle,Any form of carbon black which has a particle size of less than 100 nm in each dimension.
PMD_0000802,,absorption of radiation,process,process of taking up radiation by a material entity
PMD_0000618,,elastic modulus,stiffness,"represents a material's stiffness, defined as the ratio of stress to strain in the elastic deformation region."
PMD_0020094,,portion of scandium,portion of pure chemical element,A 'portion of scandium' is a 'portion of pure chemical element' that 'consists of' only chebi:scandium atom.
PMD_0020208,,slip direction,fiat line,A slip direction is a fiat line that corresponds to the crystallographic direction along which dislocations glide os a slip plane.
COB_0000082,,planned process,process,A process that is initiated by an agent who intends to carry out a plan to achieve an objective through one or more actions as described in a plan specification.
PMD_0020173,,billet,object,A billet is a relatively compact object that may bear a semi finished product role. At the same time it is a material.
PMD_0020195,,crystallization,process,process by which a solid with long-range order forms
PMD_0000577,,composite,connected material entity aggregate,An object aggregate that consists of two or more bonded materials with dissimilar physical or chemical properties which are used to complement each other where the parts remain seperate and distinct in the resulting object aggregate.
PMD_0090052,,silicone rubber,synthetic rubber,"synthetic rubber that belongs to crosslinked polysiloxane elastomer family, with organic side groups"
NCBITaxon_9606,,Homo sapiens,material entity,Definition not available
PMD_0000994,,torsion testing machine,device,A device used to test the resistance of materials to twisting forces by applying a torque and measuring the resulting deformation.
PMD_0020193,,tensile testpiece,object,A tensile testpiece is a longitudinal object that has two parts which were designed for gripping (gripping section) at its ends and a part between the gripping sections that has been designed to observe the materials or the objects reaction to tensile loading.
PMD_0000935,,sizing saw,circular saw,A sizing saw is an industrial circular saw designed for large cutting formats in woodworking and furniture production.
CHEBI_33380,,thulium atom,lanthanoid atom,Definition not available
PMD_0000067,,output assignment,,Output assignment is a process boundary which is part of a computing process and which connects a material entity or i.c.e as output to the computing process
PMD_0020047,,portion of phosphorus,portion of pure chemical element,A 'portion of phosphorus' is a 'portion of pure chemical element' that 'consists of' only chebi:phosphorus atom.
CHEBI_48343,,disulfide,sulfur molecular entity,Compounds of structure RSSR'.
PMD_0000660,,generative deep learning,deep learning,A deep learning process that involves creating models capable of generating new data instances that resemble the training data.
BFO_0000035,,process boundary,occurrent,p is a process boundary =Def p is a temporal part of a process & p has no proper temporal parts
PMD_0000904,,primary shaping from the granular or powdered state,primary shaping,A primary shaping process that involves forming materials from a granular or powdered state.
CHEBI_31344,,calcium oxide,molecular entity,A member of the class of calcium oxides of calcium and oxygen in a 1:1 ratio.
PMD_0000924,,scratch hardness,hardness,The scratch hardness is a hardness representing a measure of a material's resistance to deformation or scratching by a harder material.
PMD_0000767,,hacksaw,saw,"A hacksaw is a hand saw designed for cutting various materials, particularly metal. It consists of a fine-toothed blade, tensioned in a frame, and a handle. The frame of a hacksaw is typically C-shaped, allowing the blade to be easily replaced when necessary. Hacksaws are commonly used in metalworking and other applications where a controlled and precise cut through metal is required. The fine teeth on the hacksaw blade enable it to cut through metal with efficiency, and the tensioned frame provides stability during the cutting process. Hacksaws are versatile tools and are often used for tasks such as cutting pipes, rods, and metal sheets. They are available in different sizes and tooth configurations to suit various cutting needs."
PMD_0050057,,zirconia ceramic,oxide ceramic,oxide ceramic consisting primarily of zirconium oxide
PMD_0020213,,grain boundary,fiat surface,the part of a grain that is close to the grain boundary and possibly characterized by disorder is a fiat object part (grain surface layer)
CHEBI_22984,,calcium atom,metal atom,Definition not available
PMD_0000914,,removing,separating,"A separating process that involves removing material through thermal, chemical and electrochemical methods."
PMD_0050154,,width,length,This class describes a horizontal measurement of an object taken at right angles to the length of the object.
PMD_0050043,,earthenware,natural ceramic,"natural ceramic that is clay-based, formed at relatively low temperatures, resulting in a porous, rustic material"
CHEBI_25696,,organic anion,organic ion,Any organic ion with a net negative charge.
PATO_0000051,,morphology,physical object quality [pato],A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure.
BFO_0000001,,entity,,(Elucidation) An entity is anything that exists or has existed or will exist
PMD_0050149,,amorphous metal glass,glass,"glass that is characterized by a disordered, non-crystalline atomic structure, resembling a frozen liquid"
DIGITRUBBER_000244,Jan Geweke,geometry correction [ifnano],plan specification,In terms of digtal image procession: correction methods to compensate image errors caused by lense distorsion or perspective.
CHEBI_22927,,bromine atom,nonmetal atom,Definition not available
PMD_0050077,,zirconia matrix composite,oxide-oxide composite,oxide-oxide composite that uses zirconia as the primary matrix reinforced by additional oxide phases
PMD_0020099,,bravais lattice (3D),categorical value specification,The bravais lattice is a categorical value specification that specifies value of the crystal structure quality. It describes the possible geometric arrangement of lattice points in a crystal. The present descriptor is limited to the 14 possible three-dimensional arrangements.
PMD_0000540,,burning,changing properties of material,"a 'changing properties of material' process that involves burning typically refers to the application of high heat, often resulting in combustion or thermal degradation, to alter the physical or chemical properties of a material, leading to changes like hardening, alteration in chemical composition, or reduction in mass,"
PMD_0025009,,material reacting process,process,"Material reacting process is a process which occurs in a portion of matter due to some of its disposition or behavioral material property which has realization in some  stimulating process. Both the material reacting process and stimulating process must be occurent parts of a planned process, if the planned process takes place."
PMD_0050051,,diameter,length,The length of a straight line through the center of an object or space.
PMD_0000862,,monte carlo simulation,simulation process,A simulation process that uses random sampling to solve physical and mathematical problems.
PMD_0020089,,portion of hafnium,portion of pure chemical element,A 'portion of hafnium' is a 'portion of pure chemical element' that 'consists of' only chebi:hafnium atom.
BFO_0000009,,two-dimensional spatial region,spatial region,(Elucidation) A two-dimensional spatial region is a spatial region that is a whole consisting of a surface together with zero or more surfaces which may have spatial regions of lower dimension as parts
CHEBI_35352,,organonitrogen compound,nitrogen molecular entity,Any heteroorganic entity containing at least one carbon-nitrogen bond.
PMD_0000978,,thermal conductivity,thermal property,The thermal conductivity is a thermal property describing the ability of a material to conduct heat.
UO_0000000,,unit,measurement unit label,A unit of measurement is a standardized quantity of a physical quality.
OBI_0000260,,plan,realizable entity,A plan is a realizable entity that is the inheres in a bearer who is committed to realizing it as a completely executed planned process.
PMD_0020247,,dispersion,optical property,Optical property describing the wavelength dependent phase velocity.
CHEBI_37376,,tetraphosphorus decaoxide,molecular entity,Definition not available
CHEBI_53284,,polyurethane macromolecule,macromolecule,A homopolymer macromolecule composed of units connected by carbamate (-O-CO-NH-) linkages.
PMD_0050025,,novolac epoxy,epoxy resin,epoxy resin that is based on novolac resins to provide improved thermal and chemical resistance
CHEBI_33579,,main group molecular entity,molecular entity,"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."
CHEBI_25585,,nonmetal atom,atom,Definition not available
PMD_0050039,,polybutylene succinate,thermoplastic polymer,"biodegradable thermoplastic polymer polyester that is synthesized via the polycondensation of succinic acid and 1,4-butanediol"
PMD_0000512,,aggregate state,intensive quality,"an intensive quality representing the physical state of a material, such as solid, liquid, or gasous"
PMD_0050061,,beryllia ceramic,oxide ceramic,"oxide ceramic that is an advanced ceramic composed of beryllium oxide, valued for its high thermal conductivity and electrical insulation"
PMD_0000524,,assembling process,manufacturing process,An assembling process is a manufacturing process that mounts or demounts components.
PMD_0000504,,ab initio molecular dynamics simulation,simulation process,A simulation process that uses quantum mechanical calculations to predict the behavior of molecular systems without empirical parameters.
DIGITRUBBER_000649,Yamen Alsalka,hydrogenated nitrile rubber HNBR [ifnano],rubber particle [chebi],"Highly Saturated Nitrile. A Higher performance solid rubber material than NBR, achieved through adding Hydrogen Atoms to the Butadiene Segments."
PMD_0000123,,doc string,textual entity,A docstring is a textual entity that describes an associated section of some source code
BFO_0000008,,temporal region,occurrent,(Elucidation) A temporal region is an occurrent over which processes can unfold
PMD_0001018,,x-ray microanalysis,x-ray analyzing process,An X-ray analyzing process that determines the elemental composition and chemical properties of a specimen by detecting and analyzing the characteristic X-rays emitted from the sample when it is irradiated with a focused electron beam.
PMD_0000543,,calibration device role,device role,"A device role that is used for calibration of itself or another device, which has the ""Subject Of Calibration Role"". The role is realized in a calibration process."
PMD_0050036,,biodegradable polymers,polymer,"polymeric material that possesses the disposition to undergo decomposition through the metabolic activity of biological organisms, resulting in conversion into environmentally benign substances—such as carbon dioxide, methane, mineral salts, and biomass—within a timescale that does not cause harmful accumulation in the environment"
PMD_0050132,,transparent glass-ceramic,glass-ceramic,glass-ceramics that are engineered to maintain optical transparency despite partial crystallization
CHEBI_33839,,macromolecule,molecular entity,"A macromolecule is a molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
PMD_0000988,,thermomechanical treatment,changing properties of material,A changing properties of material process that involves the simultaneous application of heat and mechanical stresses. Thermomechanical treatment is utilized to alter and improve the material's microstructure and mechanical properties.
CHEBI_49637,,hydrogen atom,nonmetal atom,Definition not available
PMD_0000986,,thermogravimetric analysis process,thermal property analyzing process,"A thermal property analyzing process that measures the change in mass of a material as a function of temperature or time in a controlled atmosphere, determining its thermal stability and composition."
PMD_0010027,,inorganic composition,composition,"material composition based on chemical elements other than those defining organic compounds, typically characterized by ionic or metallic bonding and the absence of a carbon-hydrogen ($C-H$) framework"
CHEBI_30563,,silicon dioxide,molecular entity,A silicon oxide made up of linear triatomic molecules in which a silicon atom is covalently bonded to two oxygens.
CHEBI_29287,,gold atom,metal atom,Definition not available
CHEBI_32999,,europium atom,lanthanoid atom,Definition not available
PMD_0020226,,flow,process attribute,amount of transported entites per time
CHEBI_26835,,sulfur molecular entity,chalcogen molecular entity,Definition not available
CHEBI_33355,,bohrium atom,metal atom,Definition not available
PMD_0000788,,impact testing process,mechanical property analyzing process,"A mechanical property analyzing process that determines a material's ability to absorb energy and withstand impact forces, typically using pendulum or drop-weight testers."
CHEBI_33372,,neodymium atom,lanthanoid atom,Definition not available
PMD_0000602,,device,object,"A device is an object that is designed to perform a specific function or task involving measurement, manipulation, processing, or analysis."
CHEBI_33397,,lawrencium atom,metal atom,Definition not available
PMD_0000596,,deformation,process,"The deformation is a process describing a change in the shape, size, or structure of a material often under the influence of stress or force."
PMD_0000858,,microtome,device,"A device used to cut extremely thin slices of material, often for microscopic examination."
PMD_0000580,,compression testing machine,device,A device used to test the compressive strength of materials by applying a compressive force.
PMD_0000002,,engineered material,material,An engineered material is a material that is output of a manufacturing process.
PMD_0050139,,cobalt-borosilicate glass,magnetic glass,borosilicate glass that is formulated with cobalt to enhance its magnetic properties
OBI_0001931,,scalar value specification,value specification,A value specification that consists of two parts: a numeral and a unit label
PMD_0020240,,twin boundary,grain boundary,grain boundary without distorted lattice
CHEBI_33391,,berkelium atom,metal atom,Definition not available
PMD_0050045,,porcelain,natural ceramic,"natural ceramic that is clay-bsed, distinguished by its translucency, strength, and refined appearance"
PMD_0000101,,import path,textual entity,A textual entity that denotes a workflow function via import resolution rules
PMD_0000971,,temperature measuring function,measuring function,A measuring function performed to determine the temperature of an object or environment.
PMD_0000547,,change of aggregate state,phase transformation,a phase transformation (change of phase) involving the collective state of particles in portion of matter
PMD_0020071,,portion of aluminium,portion of pure chemical element,A 'portion of aluminium' is a 'portion of pure chemical element' that 'consists of' only chebi:aluminium atom.
PMD_0060009,,specification datum,directive information entity,"A directive information entity that provides information of a setpoint of some value, i.e., it is an intended value."
PMD_0001003,,unsupervised machine learning,machine learning,A machine learning process that identifies patterns and relationships in data without using labeled outcomes.
PMD_0010101,,compound semiconductor,semiconductor,semiconductor which is composed of two or more pure elements
PMD_0020161,,activity (thermodynamic),relational quality,Thermodynamic activity is a relational quality that inheres between a chemical species and a non-ideal solution and represents the effective concentration of the species accounting for particle interactions.
PMD_0020132,,size,extensive quality,an extensive quality of a material entity that describes its spatial extend.
PMD_0050056,,alumina ceramic,oxide ceramic,oxide ceramic consisting primarily of aluminium oxide
PMD_0000112,,dielectric disposition,disposition,The disposition of an electric insulator to be polarized when subjected to an electric field.
PMD_0000939,,soldering function,joining function,A soldering function is a joining function that is realized in connecting materials using solder.
PMD_0000885,,pole figure,,A pole figure is a map depicting a 2D stereographic projection which represents crystallographic orientations of grains in a polycrystalline material in respect to the sample's reference frame.
CHEBI_24431,,chemical entity,material entity,"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."
CHEBI_33388,,plutonium atom,metal atom,Definition not available
PMD_0000587,,crack growth,evolution of damage,The crack growth is an evolution of damage describing the progressive extension of a crack in a material under stress.
PMD_0020102,,mass proportion,proportion,Mass proportion is a proportion which quantifies the mass of the part relative to the mass of the whole.
PMD_0050112,,high-temperature resistant glass,aluminosilicate glass,aluminosilicate glass that is engineered to maintain stability at elevated temperatures
PMD_0200002,,injection molding,primary shaping from the plastic state,"A primary shaping from the plastic state process in which plastic granules are plasticised in an injection unit and the melt is injected under high pressure into a closed mold cavity, where it cools and solidifies to the final part shape."
PMD_0020072,,portion of sodium,portion of pure chemical element,A 'portion of sodium' is a 'portion of pure chemical element' that 'consists of' only chebi:sodium atom.
PMD_0000535,,boiling point,state of matter boundary,The boiling point is a state of matter boundary realized by transition form the liquid state to the gaseous state (or vice versa).
PMD_0010103,,hybrid semiconductor,semiconductor,semiconductor which consists of organic semiconductors and non-organic semiconductors
PMD_0010100,,elemental semiconductor,semiconductor,semiconductor that shows semiconductive behavior as a pure element
PMD_0000620,,electrical conductivity,electrical property,"The electrical conductivity is an electrical property describing the ability of a material to conduct electric current, influenced by its structure and composition."
PMD_0020229,,solution,portion of matter,"A portion of matter that is homogeneous, made up of at least two entity types, one playing the role of sovlent and the others playing the role of solute"
PMD_0020070,,portion of xenon,portion of pure chemical element,A 'portion of xenon' is a 'portion of pure chemical element' that 'consists of' only chebi:xenon atom.
PMD_0000549,,change of temperature,process,change of temperature is a process in which a particpant changes its temperature
PMD_0020112,,grain size distribution,intensive quality,An intensive quality describing the lower length scale object aggregate (grains) that is part of the material.
CHEBI_30441,,germanium atom,metalloid atom,Definition not available
PMD_0020179,,wire (semi finished product),object,A wire is a long and somewhat flexible object that may bear a semi finished product role. At the same time it is a material.
PMD_0000603,,device role,role,"Rolle, die ein Geräte inne haben kann."
CHEBI_33379,,erbium,lanthanoid atom,Definition not available
PMD_0050070,,boron nitride ceramic,nitride ceramic,nitride ceramic sonsisting of boron nitride
PMD_0020157,,spinodal decomposition,phase transformation,Spinodal decomposition is a diffusion‑controlled  continuous phase transformation in which a single homogeneous solution spontaneously separates into two compositionally distinct phases by amplification of infinitesimal concentration fluctuations.
PMD_0000903,,primary shaping from the gaseous or vapor state,primary shaping,A primary shaping process that involves forming materials from a gaseous or vapor state.
PMD_0020049,,portion of helium,portion of pure chemical element,A 'portion of helium' is a 'portion of pure chemical element' that 'consists of' only chebi:helium atom.
DIGITRUBBER_000162,Marvin Auf der Landwehr,tire-building machine [hsh],device,A machine that assembles all components and semi-finished products to produce a tire. Constitutes an entity sub-group of the machine entity.
PMD_0050068,,silicon nitride ceramic,nitride ceramic,nitride ceramic consiting of silicon nitride
PMD_0000634,,workflow executor role,role,"A role that inheres in an agent and is realized by the agent’s participation in a workflow run, in which the agent carries out, controls, or is responsible for the execution of a workflow according to a workflow definition."
CHEBI_38106,,organosulfur heterocyclic compound,organosulfur compound,Definition not available
PMD_0000976,,testing function,function,"A function performed to assess or evaluate the properties, performance, or quality of materials or devices."
PMD_0000571,,coating from the ionized state,coating,A coating process that involves applying a coating from an ionized state.
CHEBI_33833,,heteroarene,organic aromatic compound,"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."
PMD_0001011,,welding device,device,"A device used for joining materials by melting them together, typically with the addition of a filler material."
CHEBI_194533,,nihonium atom,metal atom,A boron group element atom with a symbol Nh and atomic number 113.
PMD_0050006,,low-density polyethylene,polyethylene,polyethylene that is characterized by a branched molecular structure and low density
PMD_0000107,,nonlinear optical property,optical property,Optical property that is dependent on the intensity of the input light.
PMD_0050035,,ethylene propylene diene monomer,synthetic rubber,"synthetic rubber produced from ethylene, propylene, and a diene monomer"
PMD_0000965,,surface layer (fiat object part),fiat object part,"A surface layer (fiat object part) is a fiat object part that is part of only object. The surface layer is the three dimensional region defining the outermost layer of an object, where surface-interactions with other material entities occur. What is considered as the surface is thus defined by the interaction process."
CHEBI_30145,,lithium atom,metal atom,Definition not available
PMD_0000980,,thermal conductivity measuring function,measuring function,A measuring function that inheres in devices used to measure the thermal conductivity of materials.
CHEBI_33376,,terbium atom,lanthanoid atom,Definition not available
PMD_0010112,,medical application role,role,"a role realized through the intentional interface with a biological system for the purpose of evaluating, treating, augmenting, or replacing any tissue, organ, or function of the body"
IAO_0000033,,directive information entity,information content entity,An information content entity whose concretizations indicate to their bearer how to realize them in a process.
