Class Suffix,Contributor,Label,Parent,Definition
DIGITRUBBER_000640,Yamen Alsalka,normalization [ifnano],process,Scaling spectra in order to get all data on approximately the same scale.
PMD_0050113,,non-silicate glass,glass,glass whose primary glass‑forming network is not based on SiO₂
DIGITRUBBER_000324,Alexander Aschemann,tetrabenzylthiuramdisulfide [dik],chemical substance,
PMD_0000521,,generation of magnetic field,process,is a process that occurs as a reaction to change of elctric field or movement of charges and produces a magnetic field
PMD_0010017,,platinum metal,precious metal,precious metal consisting primarily of platinum
PMD_0050058,,yttria-stabilized zirconia ceramic,zirconia ceramic,zirconia ceramic stabilized with yttria to enhance its thermal and mechanical performance
DIGITRUBBER_000023,,exterior orientation [jade],relational quality,"""The exterior orientation consists of six parameters which describe the spatial position and orientation of the camera coordinate system with respect to the global object coordinate system"" (Luhmann et al. 2020: 277)"
CHEBI_33392,,californium atom,metal atom,
DIGITRUBBER_1000054,,F Median [Arlanxeo],data item,Median value of tensile strength at break from stress-strain (tensile) measurement
PMD_0020213,,grain boundary,fiat surface,the part of a grain that is close to the grain boundary and possibly characterized by disorder is a fiat object part (grain surface layer)
PMD_0020171,,phase boundary (spatial),fiat surface,A fiat surface separating one phase from another phase.
PMD_0000114,,clay,material,"material that is naturally occurring, fine-grained earthy and composed primarily of hydrous aluminum silicates and other minerals, formed by the geological processes"
PMD_0050132,,transparent glass-ceramic,glass-ceramic,glass-ceramics that are engineered to maintain optical transparency despite partial crystallization
DIGITRUBBER_1000066,,t90,intensive quality,Time for 90% conversion measured in an MDR (Moving Die Rheometer) test
DIGITRUBBER_000552,,measurement device [ncit],device,Any device used to determine the dimension of an object.
OBI_0000726,Ryan Brinkman,peak matching,data transformation,Peak matching is a data transformation performed on a dataset of a graph of ordered data points (e.g. a spectrum) with the objective of pattern matching local maxima above a noise threshold
PMD_0020181,,pipe,object,A tube is a long object with a hollow section and pronounced wall thickness that may bear a semi finished product role. At the same time it may be a material.
PMD_0020149,,metastable phase,phase (thermodynamic),"A metastable phase phase_trans is a phase that has a ""pmd:disposition of a phase to transform"" disp_trans and disp_trans is realized in a ""pmd:phase transformation"" proc_trans and proc_trans has participant sys_trans and sys_trans has part phase_trans."
DIGITRUBBER_000391,Alexander Aschemann,drop door temperature control unit [dik],device,drop door temperature control unit
PMD_0050092,,bioinert ceramic,bioceramic,ceramic that is designed to remain inert in biological environments to minimize adverse reactions
PMD_0020113,,fluid (object),object,Fluid (object) is an object that consists of some portion of matter which bears an aggregate state that concretizes a liquid or gaseous aggregate state.
DIGITRUBBER_000340,Alexander Aschemann,product data sheet [dik],information content entity,
DIGITRUBBER_1000067,,loss factor at 7 percent [Arlanxeo],intensive quality,Loss factor measured at 7% deformation (strain) measured in an amplitude sweep test
DIGITRUBBER_000024,,camera calibration [jade],process,"""The photogrammetric determination of the parameters of interior orientation is usually referred to as calibration. This is based on the idea that once a mechanically stable camera is calibrated, it may be moved from one image taking location to another whilst retaining its calibration."" (Luhmann, Robson et al. 2020: 170)"
DIGITRUBBER_000590,Alexander Aschemann,ethylene concentration measurement assay [dik],assay,"A concentration measurement assay with the objective to produce information about the concentration of ethylene in the material entity that is the evaluant, by physically examining it or its proxies."
PMD_0020130,,driving force of phase in system,relational quality,"Driving force of phase in a system is a relational quality that inheres between two material entities, the species and the material (system). The driving force is a factor that promotes a physical process or (eletro-)chemical reaction in a material (system) to occur and proceed towards completion. It can be quantified as the gradient of the activity of the participating species."
PMD_0020074,,portion of caesium,portion of pure chemical element,A 'portion of caesium' is a 'portion of pure chemical element' that 'consists of' only chebi:caesium atom.
PMD_0000520,,heat flow,process,is a process in which transfer of thermal energy between or within material entities occurs
PMD_0020022,,corrosion,process,corrosion is a slow chemical or electrochemical degradation process of a material entity due to its interaction with the surrounding environment.
PMD_0090004,,aluminum matrix composite,metal matrix composite,"metal matrix composite, consisting of an aluminum or aluminum alloy matrix and one or more reinforcement materials"
OBI_0000707,James Malone,decision tree building data transformation,data transformation,A decision tree building data transformation is a data transformation that has objective decision tree induction.
PMD_0050001,,covalent bond,bond,A covalent bond is a bond that forms when nonmetal atoms share electrons to achieve a stable electron configuration.
DIGITRUBBER_000386,Alexander Aschemann,rotor speed [dik],device specification,
CHEBI_28798,,rubber particle [chebi],polymer [chebi],A polymer consisting of cis-linked prenyl units.
CHEBI_194541,,oganesson atom,nonmetal atom,A p-block element atom with a symbol Og and atomic number 118.
PMD_0020093,,portion of vanadium,portion of pure chemical element,A 'portion of vanadium' is a 'portion of pure chemical element' that 'consists of' only chebi:vanadium atom.
PMD_0020128,,thermodynamic system,object aggregate,A thermodynamic system is an object aggregate whose objects are bearer of  thermodynamic properties. A thermodynamic system environs a thermodynamic process by which the thermodynamic properties of the objects of the thermodynamic system change over time.
PMD_0050065,,tungsten carbide ceramic,carbide ceramic,carbide ceramic with tungsten
NCIT_C48367,,pixel [ncit],information content entity,"The smallest resolvable rectangular area of an image, either on a screen or stored in memory."
PATO_0000122,,length [pato],morphology,A 1-dimensional extent quality which is equal to the distance between two points.
DIGITRUBBER_1000079,Pallavi Karanth,shear rate,intensive quality,"Shear rate in polymer mixing is defined as the rate of change of velocity of a fluid or material with respect to the distance between two parallel planes and it is a critical parameter that influences the flow behavior, viscosity, and morphology of polymer melts."
DIGITRUBBER_000527,Alexander Aschemann,quality of a liquid [dik],quality,
PMD_0001035,,angle,geometric relational quality,"A property that represents the measure of rotation or inclination between two intersecting lines or planes, independent of the size of the object."
PMD_0000949,,stiffness,material property,The stiffness is a material property describing the resistance of a material to deformation under an applied force.
CHEBI_33390,,curium atom,metal atom,
PMD_0050124,,ion-exchanged glass,toughened (tempered) glass,glass that is chemically strengthened and produced by exchanging ions to improve durability
CHEBI_33517,,copernicium atom,metal atom,"A zinc group element atom with a symbol Cn and atomic number 112. All its isotopes are intensely radioactive. Prior to its discovery, it had the placeholder name ununbium (in accordance with IUPAC recommendations). Following its discovery (in Darmstadt, 1996) and subsequent confirmation, the name copernicium was adopted in 2010."
PMD_0000910,,rebound hardness,hardness,The rebound hardness is representing a measure of a material's hardness based on the height of rebound of a hammer dropped on the material.
CHEBI_33389,,americium atom,metal atom,
PMD_0010100,,elemental semiconductor,semiconductor,semiconductor that shows semiconductive behavior as a pure element
PMD_0090018,,bio-based composite,composite,composite consisting of at least one constituent derived from biological or bio-based sources
DIGITRUBBER_000133,,supervisor [m4i],role,"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process"
CHEBI_27007,,tin atom,metal atom,
BFO_0000016,,disposition,realizable entity,(Elucidation) A disposition b is a realizable entity such that if b ceases to exist then its bearer is physically changed & b's realization occurs when and because this bearer is in some special physical circumstances & this realization occurs in virtue of the bearer's physical make-up
PMD_0020047,,portion of phosphorus,portion of pure chemical element,A 'portion of phosphorus' is a 'portion of pure chemical element' that 'consists of' only chebi:phosphorus atom.
DIGITRUBBER_000449,Alexander Aschemann,die geometry [dik],geometry [imr],
DIGITRUBBER_000439,Alexander Aschemann,pressure variation [dik],process attribute,"Pressure variation refers to the change in pressure within a fluid as a function of depth, position, and time, influenced by factors such as fluid density and gravitational force."
IAO_0000037,person:Chris Stoeckert,dot plot,graph,A dot plot is a report graph which is a graphical representation of data where each data point is represented by a single dot placed on coordinates corresponding to data point values in particular dimensions.
DIGITRUBBER_1000021,Pallavi Karanth,mooney viscosity [Arlanxeo],intensive quality,Mooney Viscosity is a quality of raw and vulcanised polymersbased on the measurement of the torque necessary to rotate a disc in a cylindrical chamber filled with the rubber compound to be vulcanized and is reported in arbitrary Mooney units. It is the torque at t=5 min. after the start of the Mooney test for vulcanized polymers.
DIGITRUBBER_000162,Marvin Auf der Landwehr,tire-building machine [hsh],device,A machine that assembles all components and semi-finished products to produce a tire. Constitutes an entity sub-group of the machine entity.
PMD_0050033,,styrene-butadiene rubber,synthetic rubber,"synthetic rubber and belongs to a family of synthetic random copolymer elastomers of styrene and butadiene, made by emulsion or solution polymerization and typically vulcanized"
DIGITRUBBER_000081,Sebastian Leineweber,rolling [ita],process,Rolling is the second of the three areas of the extrusion line. Where the material is homogenised.
PMD_0020209,,slip system (3D),categorical value specification,specifies the value of the crystal slip plane together with the slip direction.
CHEBI_28112,,nickel atom,metal atom,Chemical element (nickel group element atom) with atomic number 28.
PMD_0050145,,45S5 bioglass,silicate-based bioactive glass,silicate-based bioactive glass with a specific composition known for its ability to bond with bone
PMD_0020091,,portion of oxygen,portion of pure chemical element,A 'portion of oxygen' is a 'portion of pure chemical element' that 'consists of' only chebi:oxygen atom.
DIGITRUBBER_000326,Alexander Aschemann,dithiocarbamate [dik],dithiocarbamate anions,
BFO_0000148,,zero-dimensional temporal region,temporal region,(Elucidation) A zero-dimensional temporal region is a temporal region that is a whole consisting of one or more separated temporal instants as parts
PMD_0020216,,order scale value,categorical value specification,possible values of characteristic length over which structural correlations persist in a material
DIGITRUBBER_000392,Alexander Aschemann,drop door temperature [dik],intensive quality,
BFO_0000031,,generically dependent continuant,continuant,(Elucidation) A generically dependent continuant is an entity that exists in virtue of the fact that there is at least one of what may be multiple copies which is the content or the pattern that multiple copies would share
PMD_0000585,,continuous simulation,simulation method specification,A simulation method specification where changes in a system are modeled continuously over time.
PMD_0010001,,carbon steel,ferrous metal,ferrous metal that has a limited amout of carbon
PMD_0010006,,chromium steel,steel,"steels containing chromium as an intentional alloying element, characterized by mechanical strength and hardness suitable for engineering applications such as bearings, tools, drills, and utensils, but lacking the corrosion resistance required to qualify as stainless steel"
PMD_0090012,,biological material,material,material produced by a living organism
BFO_0000040,,material entity,independent continuant,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.
DIGITRUBBER_000161,Marvin Auf der Landwehr,banbury mixer [hsh],device,A machine that mixes polymers and additives in the manufacture of plastic and rubber products. Constitutes an entity sub-group of the machine entity.
NCIT_C154897,,activator [ncit],vulcanizing system [dik],"A class of substances that binds to, activates and increases the activity of a target."
DIGITRUBBER_000026,Sebastian Leineweber,agent [ita],role,An agent is a system that perceives its environment through sensors and can interact with it through actions.
CHEBI_17051,,fluoride,molecular entity,
PMD_0090015,,biogenic mineral,biological material,mineral that is inorganic crystalline or amorphous solid synthesized by a living organism
PMD_0000996,,triple point,state of matter boundary,a state of matter boundary (point) realized by transition from the solid state to the liquid state or the the gaseous state (or vice versa).
PMD_0000517,,acoustic wave,wave,a mechanical wave of pressure disturbances that propagates through a medium by local compression and rarefaction
DIGITRUBBER_000600,Alexander Aschemann,organodiyl group [dik],organic divalent group [chebi],
PMD_0020103,,molar proportion,proportion,Molar proportion is the proportion which quantifies the entities count of the part in relation to the entities count of the whole.
DIGITRUBBER_000380,,mechanical mixer [ncit],device,A mechanical component designed to blend materials.
PMD_0020145,,educt,role,Educt is the role of a material entity that is input of a chemical reaction and is consumed or transformed during the reaction
DIGITRUBBER_000387,Alexander Aschemann,rotor temperature control unit [dik],device,
CHEBI_30501,,beryllium atom,metal atom,Alkaline earth metal atom with atomic number 4.
PMD_0020065,,portion of selenium,portion of pure chemical element,A 'portion of selenium' is a 'portion of pure chemical element' that 'consists of' only chebi:selenium atom.
IAO_0000102,Person:Alan Ruttenberg,data about an ontology part,data item,"Data about an ontology part is a data item about a part of an ontology, for example a term"
PMD_0020131,,intensive quality,quality,An intensive quality is a quality that inheres in only portion of matter and thus is independent of the bearers (system-) size.
PMD_0050143,,bioactive glass,glass,glass that forms a biologically compatible hydroxycarbonate apatite (HCA) layer on its surface in physiological conditions
OBI_0000371,Frank Gibson,heat function,function,A heat function is a function that increases the internal kinetic energy of a material
PMD_0020229,,solution,portion of matter,"A portion of matter that is homogeneous, made up of at least two entity types, one playing the role of sovlent and the others playing the role of solute"
PMD_0001042,,test piece preparation process,planned process,A planned processes in which a representative piece of material is extracted from a larger amount and readied for analysis. 
CHEBI_38106,,organosulfur heterocyclic compound,organic heterocyclic compound,
PMD_0020000,,phase (thermodynamic),material entity,A thermodynamic phase is a material entity that forms a homogeneous portion of matter within a thermodynamic system and is characterized by uniform thermodynamic properties.
CHEBI_25555,,nitrogen atom,nonmetal atom,
PMD_0020172,,sheet,object,A plate is a thin rectangular object that may bear a semi finished product role. At the same time it is a material.
PMD_0050010,,isotactic polypropylene,polypropylene,polypropylene in which all the methyl groups are aligned on the same side of the polymer chain
PMD_0000104,,ion-exchange hardening,hardening,Hardening process used in glass manufacturing where ions in the glass are replaced by larger ions from a solution which create compressive stress and increased hardness.
OBI_0200111,James Malone,data visualization,planned process,"An planned process that creates images, diagrams or animations from the input data."
IAO_0020010,,identifier creating process,completely executed planned process,A planned process that provides a reference to an individual entity shared by a group of subscribers to refer to that individual entity.
PMD_0050002,,metallic bond,bond,"A metallic bond is a bond that forms between metal atoms, where electrons are shared in a ""sea"" of electrons that move freely around the metal ions. This type of bonding gives metals their characteristic properties such as conductivity and malleability."
PMD_0090053,,polychloropren,synthetic rubber,synthetic rubber that belongs to the family of synthetic elastomeric rubbers; synthesised typically through emulsion polymerization of chloroprene
PMD_0020169,,mixture boundary,phase boundary (realization),A mixture boundary is a phase boundary that is realized by the transition from one phase to another phase in a system involving also chemical variations.
DIGITRUBBER_000445,Alexander Aschemann,screw speed [dik],device specification,
NCIT_C106043,,natural rubber [ncit],mixture [chebi],The natural extract of tropical rubber plants.
BFO_0000030,,object,material entity,(Elucidation) An object is a material entity which manifests causal unity & is of a type instances of which are maximal relative to the sort of causal unity manifested
DIGITRUBBER_000276,Christoph Lenth,polymer composition [ifnano],proportion,The relative proportions of monomers that make up a particular chemical polymer (raw rubber).
PMD_0020078,,portion of manganese,portion of pure chemical element,A 'portion of manganese' is a 'portion of pure chemical element' that 'consists of' only chebi:manganese atom.
DIGITRUBBER_000471,Alexander Aschemann,pin zone temperature [dik],intensive quality,
PMD_0020038,,portion of nitrogen,portion of pure chemical element,A 'portion of nitrogen' is a 'portion of pure chemical element' that 'consists of' only chebi:nitrogen atom.
PMD_0050140,,nonlinear optical glass,optical glass,optical glass that is engineered to display nonlinear optical responses under intense light
PMD_0000601,,deterministic simulation,simulation method specification,A simulation method specification where outcomes are precisely determined through known relationships without random variability.
CHEBI_33382,,lutetium atom,lanthanoid atom,
DIGITRUBBER_000202,Sven Schwabe (IFNANO),concentration [ifnano],intensive quality,A quality of a substance in terms of its amount per unit volume in a mixture.
PMD_0020237,,Burgers vector,extensive quality,quality of a dislocation in terms of amount and direction in a specific crystal type
CHEBI_49882,,rhenium atom,metal atom,
PMD_0020189,,titanium alloy,non-ferrous metal,non-ferrous metal consisting primarily of titanium combined with other elements
CHEBI_74236,,polymerisation monomer,role,Any compound used as a monomer for a polymerisation process. The term is generally used in relation to industrial polymerisation processes.
OBI_0000112,GROUP:  Role Branch,specimen role,role,a role borne by a material entity that is gained during a specimen collection process and that can be realized by use of the specimen in an investigation
PMD_0000773,,hardness,mechanical property,"The hardness is a mechanical property used as a measure of a material's resistance to localized plastic deformation, often tested by indentation or scratch methods."
OBI_0001930,PERSON:Bjoern Peters,categorical value specification,value specification,A value specification that is specifies one category out of a fixed number of nominal categories
PMD_0020199,,slip plane,fiat surface,A slip plane is a fiat surface that corresponds to a crystallographic plane of a 3D crystal along which dislocations can glide
PMD_0020095,,portion of titanium,portion of pure chemical element,A 'portion of titanium' is a 'portion of pure chemical element' that 'consists of' only chebi:titanium atom.
PMD_0000051,,simulation entity role,,"Simulation entity role is a role that inheres in an independent continuant (IC) and is realized in a simulation process. This role enables the IC to participate in the simulation as a proxy, model, or representative of a real or hypothetical entity within the simulated context"
PMD_0000630,,emission of wave radiation,emission of radiation,"The emission of wave radioation is an emission of radiation describing the release of energy in the form of waves, such as electromagnetic or acoustic waves, by a material or system."
NCIT_C948,,zinc [ncit],metal atom,"An element with atomic symbol Zn, atomic number 30, and atomic weight 65.39."
UO_0000076,,mole fraction,mole fraction based unit,A concentration unit which denotes the number of moles of solute as a proportion of the total number of moles in a solution.
PMD_0020150,,volume,size,Volume is a three dimensional size.
CHEBI_27594,,carbon atom,nonmetal atom,
PMD_0050019,,polyethylene terephthalate,thermoplastic polymer,thermoplastic polymer produced by polycondensation of ethylene glycol and terephthalate precursors
DIGITRUBBER_000648,Yamen Alsalka,fluororubber FKM [ifnano],rubber particle [chebi],Is a family of fluorocarbon-based fluoroelastomer materials that contain vinylidene fluoride as a monomer.
DIGITRUBBER_000027,,agent [ncit],role,"An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect."
DIGITRUBBER_000543,Alexander Aschemann,material processing [dik],process,
DIGITRUBBER_000536,Alexander Aschemann,density measurement protocol [dik],measurement protocol [dik],A measurement protocol for reliably reproducing the density measurement assay.
DIGITRUBBER_1000051,,E double dash 60 degree celcius [Arlanxeo],intensive quality,Loss modulus measured at 60 °C in dynamic mechanical thermal analysis (DTMA)
result#AFR_0002192,,standard deviation [allotrope],measurement datum,The standard deviation is a measure of the amount of variation or dispersion of a set of values.
PMD_0050037,,polylactic acid,biodegradable polymers,biodegradable thermoplastic polymer produced from renewable resources such as corn starch
PMD_0020140,,portion of pure chemical element,pure substance,"A portion of pure chemical element is a pure substance composed of multiple atoms, which are all of the same kind."
CHEBI_33367,,darmstadtium,metal atom,
CHEBI_36962,,organochalcogen compound,heteroorganic entity,An organochalcogen compound is a compound containing at least one carbon-chalcogen bond.
CHEBI_33582,,carbon group molecular entity,p-block molecular entity,
DIGITRUBBER_000593,Alexander Aschemann,concentration measurement protocol [dik],measurement protocol [dik],A measurement protocol for reliably reproducing the concentration measurement assay.
PATO_0001291,,electromagnetic (EM) radiation quality,radiation quality,A physical quality that inheres in an bearer by virtue of how that bearer interacts with electromagnetic radiation.
NCIT_C48054,,peak [ncit],information content entity,The most extreme possible amount or value; the highest point.
DIGITRUBBER_1000039,Pallavi Karanth,rebound mean value [Arlanxeo],intensive quality,"Rebound mean value is a quality of polymers which specifies in percentage how far the hammer comes back after the impact, measured at T = 23 degree celcius and T = 60 degree celcius for tire compounds."
DIGITRUBBER_000022,,camera coordinate system [jade],information content entity,"""The camera coordinate system has its origin at the perspective centre of the image. It is further defined by reference features fixed in the camera (fiducial marks, réseau, sensor system). It can therefore be reconstructed from the image and related to an image measuring device"" (Luhmann et al. 2020: 278)"
APOLLO_SV_00000796,William R. Hogan,dataset creating,planned process,A planned process that has a data set as its specified output.
PMD_0020214,,diffraction,process,"is a process of interference of waves which, scattered by a material’s periodic features, produce characteristic patterns"
DIGITRUBBER_1000024,,moving die rheometer [Arlanxeo],device,"Generic name for an instrument that applies oscillatory shearing deformation at the vulcanization temperature of a compound at a given time window, using a constant frequency and amplitude."
DIGITRUBBER_000450,Alexander Aschemann,extrudate cross section [dik],fiat object part,
CHEBI_24061,,fluorine atom,nonmetal atom,
PMD_0000537,,brinell hardness,indentation hardness,An indentation hardness scalar representing a measure of material hardness obtained by indenting the material with a steel or tungsten carbide ball under a specific load.
DIGITRUBBER_000344,Alexander Aschemann,setting roll [dik],device,
DIGITRUBBER_000421,Alexander Aschemann,number of mixing stages [dik],measurement datum,
BFO_0000035,,process boundary,occurrent,p is a process boundary =Def p is a temporal part of a process & p has no proper temporal parts
PMD_0020241,,angle of misalignment (crystallography),angle,smallest rotation angle needed to rotate one crystal orientation to coincide with the neighboring orientation
PMD_0000014,,input specification,parameter specification,A parameter specification that prescribes a data item required as input for the execution of a workflow function.
PMD_0050047,,mullite ceramic,aluminosilicate ceramic,aluminosilicate ceramic known for its excellent high-temperature stability
DIGITRUBBER_000580,Alexander Aschemann,viscometer [dik],device,
PMD_0020126,,foam,connected material entity aggregate,A foam is a connected material entity aggregate that consists of a solid or liquid matrix containing gas-filled or vacuum-filled pores forming cellular structures.
DIGITRUBBER_000080,,validation [edam],process,Validate some data.
OBI_0000453,PERSON:Frank Gibson,measure function,function,Measure function is a function that is borne by a processed material  and realized in a process in which information about some entity is expressed relative to some reference.
DIGITRUBBER_000106,Marvin Auf der Landwehr,cost [hsh],information content entity,Cumulative expression for the value of all costs groups within the system under study
DIGITRUBBER1000030,https://orcid.org/0000-0002-8280-0487,device zone,site,A site that is a designated region within a technical device where a specific function of the device is realized.
PMD_0020136,,phase transformation,process,"A thermodynamic phase transformation is a process in/of a thermodynamic system, that involves the transformation of phases of the system to other phases."
PMD_0050082,,dielectric ceramic,electroceramic,electroceramic that serves primarily as electrical insulators due to their high dielectric constants
CHEBI_33259,,elemental molecular entity,molecular entity,A molecular entity all atoms of which have the same atomic number.
BFO_0000034,,function,disposition,(Elucidation) A function is a disposition that exists in virtue of its bearer's physical make-up & this physical make-up is something the bearer possesses because it came into being either through evolution (in the case of natural biological entities) or through intentional design (in the case of artefacts) in order to realize processes of a certain sort
PMD_0000950,,stimulating process,process,"The stimulating process is a process describing the application of an external influence, such as force, heat, or radiation, to study material response."
PMD_0010012,,zinc alloy,non-ferrous metal,non-ferrous metal consisting primarily of zinc combined with other elements
PMD_0060008,,recipe,plan specification,"A plan specification that outlines the ingredients, proportions, and procedural steps required to prepare a specific product, typically in cooking, manufacturing, or chemical processes."
PMD_0020061,,portion of krypton,portion of pure chemical element,A 'portion of krypton' is a 'portion of pure chemical element' that 'consists of' only chebi:krypton atom.
PMD_0010015,,gold metal,precious metal,precious metal consisting primarily of gold
DIGITRUBBER_000591,Alexander Aschemann,ethylidene norbornene concentration measurement assay [dik],assay,"A concentration measurement assay with the objective to produce information about the concentration of ethylidene norbornene in the material entity that is the evaluant, by physically examining it or its proxies."
CHEBI_33471,,hydrocarbylene group [chebi],organodiyl group [chebi],"A bivalent group formed by removing two hydrogen atoms from a hydrocarbon, the free valencies of which are not engaged in a double bond."
DIGITRUBBER_000566,Alexander Aschemann,setting point [dik],plan specification,
PMD_0000790,,refraction (optical),optical property,Optical property which describes the bending of light as it passes from one medium into another due to a change in the light’s speed.
GO_0008150,,biological process,process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
PMD_0050044,,stoneware,natural ceramic,"natural ceramic that is clay-based, fired at higher temperatures than earthenware to yield a denser, more durable material"
PMD_0020211,,allotropy of an elemental crystal,polymorphism of crystal,a disposition of an elemental crystal to change its crystal structure
PMD_0050000,,bond,relational quality,A bond is a relational quality describing the force interaction between atoms.
NCIT_C17157,,Raman spectroscopy [ncit],plan specification,Emission of electromagnetic energy with a shorter frequency (longer wavelength) than that of the incident monochromatic light. Arises from the low probability absorption of quanta with a higher energy than that required for a transition: the difference in energy is emitted as a lower frequency (energy) photon. Allows analysis of vibrational and rotational energy levels using visible incident light. [ NCI ]
UO_0000000,,unit,measurement unit label,A unit of measurement is a standardized quantity of a physical quality.
DIGITRUBBER_000425,Alexander Aschemann,single screw extruder [dik],extruder,
CHEBI_36358,,polyatomic ion,polyatomic entity,An ion consisting of more than one atom.
DIGITRUBBER_1000093,Pallavi Karanth,energy efficiency,intensive quality,"Energy efficiency is the practice of using less energy to provide the same level of service or output, reducing costs and environmental impact."
PMD_0050128,,electrochromic glass,functional glass,functional glass that can reversibly change its light transmission properties when an electrical voltage is applied
PMD_0020173,,billet,object,A billet is a relatively compact object that may bear a semi finished product role. At the same time it is a material.
CHEBI_30145,,lithium atom,metal atom,
