Class Suffix,Contributor,Label,Parent,Definition,Message
DIGITRUBBER_000395,Alexander Aschemann,torque [dik],extensive quality,,"Multiple DIGITRUBBER classes use the same base label 'torque ' with different partner tags: 'torque [dik]', torque  [om]"
DIGITRUBBER_000270,,monomer [ifnano],molecular entity,"Asubstance which is capable of forming covalent bonds with a
sequence of additional like or unlike molecules under the conditions of the relevant polymerforming reaction used for the particular process","Multiple DIGITRUBBER classes use the same base label 'monomer ' with different partner tags: 'monomer [ifnano]', monomer  [ncit]"
DIGITRUBBER_000202,Sven Schwabe (IFNANO),concentration [ifnano],intensive quality,A quality of a substance in terms of its amount per unit volume in a mixture.,"Multiple DIGITRUBBER classes use the same base label 'concentration ' with different partner tags: 'concentration [ifnano]', concentration  [ecso], concentration  [ncit], concentration  [edam], concentration  [bwmd], concentration  [dik]"
DIGITRUBBER_000261,Sven Schwabe (IFNANO),zinc [ifnano],metal atom,The chemical element zinc,"Multiple DIGITRUBBER classes use the same base label 'zinc ' with different partner tags: 'zinc [ifnano]', zinc  [ncit], zinc  [efo]"
DIGITRUBBER_000313,Alexander Aschemann,stearic acid [dik],pure substance,"Stearic acid is a common 18-carbon long-chain saturated fatty acid (
) found widely in animal and vegetable fats.","Multiple DIGITRUBBER classes use the same base label 'stearic acid ' with different partner tags: 'stearic acid [dik]', stearic acid  [ncit]"
DIGITRUBBER_000477,Alexander Aschemann,crosslink [dik],group [chebi],chemical bond or atom(s) joining two rubber chains or two parts of the same rubber chain as a result of vulcanization,"Multiple DIGITRUBBER classes use the same base label 'crosslink ' with different partner tags: 'crosslink [dik]', crosslink  [ncit]"
DIGITRUBBER_000602,Alexander Aschemann,organic divalent group [dik],organic group [chebi],,"Multiple DIGITRUBBER classes use the same base label 'organic divalent group ' with different partner tags: 'organic divalent group [dik]', organic divalent group  [chebi]"
DIGITRUBBER_000281,Alexander Aschemann,agglomerate [dik],chemical entity,Group of interlocked aggregates that are easily separated by normal rubber processing,"Multiple DIGITRUBBER classes use the same base label 'agglomerate ' with different partner tags: 'agglomerate [dik]', agglomerate  [enm]"
DIGITRUBBER_000131,,supervisor [hsh],role,A person who supervises and coordinates the work of employees who set up and operate machine entity units in the system under investigation. Constitutes an entity of the human ressource and the production cost group.,"Multiple DIGITRUBBER classes use the same base label 'supervisor ' with different partner tags: 'supervisor [hsh]', supervisor  [m4i], supervisor  [ncit]"
DIGITRUBBER_000543,Alexander Aschemann,material processing [dik],process,,"Multiple DIGITRUBBER classes use the same base label 'material processing ' with different partner tags: 'material processing [dik]', material processing  [obi]"
DIGITRUBBER_000280,Sven Schwabe (IFNANO),sample [ifnano],role,"A material entity, which is part of a larger set of the same material entity","Multiple DIGITRUBBER classes use the same base label 'sample ' with different partner tags: 'sample [ifnano]', sample  [nmrcv], sample  [sosa], sample  [dik]"
DIGITRUBBER_000187,Georgios Ctistis,Raman spectroscopy [ifnano],plan specification,"A non-destructive light scattering technique that provides detailed information about the chemical structure upon the interaction of light with the chemical bonds within a material based on periodic changes of polarizabilities, usually manifested as energy loss (gain) with respect to the incident light.","Multiple DIGITRUBBER classes use the same base label 'Raman spectroscopy ' with different partner tags: 'Raman spectroscopy [ifnano]', Raman spectroscopy  [ncit]"
DIGITRUBBER_000089,Sebastian Leineweber,screw speed [ita],device specification,Control variable that indicates how high the speed of the screw is during extrusion.,"Multiple DIGITRUBBER classes use the same base label 'screw speed ' with different partner tags: 'screw speed [ita]', screw speed  [dik]"
DIGITRUBBER_000359,,temperature [pato],intensive quality,A physical quality of the thermal energy of a system.,"Multiple DIGITRUBBER classes use the same base label 'temperature ' with different partner tags: 'temperature [pato]', temperature  [efo], temperature  [ncit], temperature  [om]"
DIGITRUBBER_000320,Alexander Aschemann,di(benzothiazol-2-yl)disulfide [dik],organic disulfide,,"Multiple DIGITRUBBER classes use the same base label 'di(benzothiazol-2-yl)disulfide ' with different partner tags: 'di(benzothiazol-2-yl)disulfide [dik]', di(benzothiazol-2-yl)disulfide  [chebi]"
DIGITRUBBER_000273,,polymer [chebi],mixture [chebi],"A polymer is a mixture, which is composed of macromolecules of different kinds and which may be differentiated by composition, length, degree of branching etc..","Multiple DIGITRUBBER classes use the same base label 'polymer ' with different partner tags: 'polymer [chebi]', polymer  [dik]"
DIGITRUBBER_000554,Alexander Aschemann,processed material [dik],material entity,,"Multiple DIGITRUBBER classes use the same base label 'processed material ' with different partner tags: 'processed material [dik]', processed material  [obi]"
DIGITRUBBER_000145,Lars M Vogt,aggregate [enm],chemical entity,"A composite particle, comprising of strongly bound or fused smaller particles, where the resulting external surface area may be significantly smaller than the sum of calculated surface areas of the individual components.","Multiple DIGITRUBBER classes use the same base label 'aggregate ' with different partner tags: 'aggregate [enm]', aggregate  [dik]"
DIGITRUBBER_000296,Alexander Aschemann,carbon black [dik],elemental carbon,"compounding ingredient consisting essentially of more than 95 % elemental carbon in the form of nearspherical particles with major diameters less than 1 μm, generally coalesced into aggregates","Multiple DIGITRUBBER classes use the same base label 'carbon black ' with different partner tags: 'carbon black [dik]', carbon black  [chebi], carbon black  [Arlanxeo]"
DIGITRUBBER_000177,Marvin Auf der Landwehr,natural rubber [hsh],mixture [chebi],An elastic material obtained from the latex sap of trees. Constitutes an entity sub-group of the raw material entity.,"Multiple DIGITRUBBER classes use the same base label 'natural rubber ' with different partner tags: 'natural rubber [hsh]', natural rubber  [ncit]"
DIGITRUBBER_000527,Alexander Aschemann,quality of a liquid [dik],quality,,"Multiple DIGITRUBBER classes use the same base label 'quality of a liquid ' with different partner tags: 'quality of a liquid [dik]', quality of a liquid  [pato]"
DIGITRUBBER_000129,,operator [hsh],role,A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group.,"Multiple DIGITRUBBER classes use the same base label 'operator ' with different partner tags: 'operator [hsh]', operator  [ncit]"
DIGITRUBBER_000080,,validation [edam],process,Validate some data.,"Multiple DIGITRUBBER classes use the same base label 'validation ' with different partner tags: 'validation [edam]', validation  [ncit], validation  [obi]"
